GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
12,10-11-2024,20:45,Inter,Napoli,1-1
13,23-11-2024,15:00,Verona,Inter,0-5
13,23-11-2024,18:00,Milan,Juventus,0-0
13,23-11-2024,20:45,Parma,Atalanta,1-3
13,24-11-2024,12:30,Genoa,Cagliari,2-2
13,24-11-2024,15:00,Como,Fiorentina,0-2
13,24-11-2024,15:00,Torino,Monza,1-1
13,24-11-2024,18:00,Napoli,Roma,1-0
13,24-11-2024,20:45,Lazio,Bologna,3-0
13,25-11-2024,18:30,Empoli,Udinese,1-1
13,25-11-2024,20:45,Venezia,Lecce,0-1
14,29-11-2024,20:45,Cagliari,Verona,1-0
14,30-11-2024,15:00,Como,Monza,1-1
14,30-11-2024,18:00,Milan,Empoli,3-0
14,30-11-2024,20:45,Bologna,Venezia,3-0
14,01-12-2024,12:30,Udinese,Genoa,0-2
14,01-12-2024,15:00,Parma,Lazio,3-1
14,01-12-2024,15:00,Torino,Napoli,0-1
14,01-12-2024,20:45,Lecce,Juventus,1-1
14,02-12-2024,20:45,Roma,Atalanta,0-2
14,06-02-2025,20:45,Fiorentina,Inter,3-0
15,06-12-2024,18:30,Inter,Parma,3-1
15,06-12-2024,20:45,Atalanta,Milan,2-1
15,07-12-2024,15:00,Genoa,Torino,0-0
15,07-12-2024,18:00,Juventus,Bologna,2-2
15,07-12-2024,20:45,Roma,Lecce,4-1
15,08-12-2024,12:30,Fiorentina,Cagliari,1-0
15,08-12-2024,15:00,Verona,Empoli,1-4
15,08-12-2024,18:00,Venezia,Como,2-2
15,08-12-2024,20:45,Napoli,Lazio,0-1
15,09-12-2024,20:45,Monza,Udinese,1-2
16,13-12-2024,20:45,Empoli,Torino,0-1
16,14-12-2024,15:00,Cagliari,Atalanta,0-1
16,14-12-2024,18:00,Udinese,Napoli,1-3
16,14-12-2024,20:45,Juventus,Venezia,2-2
16,15-12-2024,12:30,Lecce,Monza,2-1
16,15-12-2024,15:00,Bologna,Fiorentina,1-0
16,15-12-2024,15:00,Parma,Verona,2-3
16,15-12-2024,18:00,Como,Roma,2-0
16,15-12-2024,20:45,Milan,Genoa,0-0
16,16-12-2024,20:45,Lazio,Inter,0-6
17,20-12-2024,20:45,Verona,Milan,0-1
