GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
20,13-01-2024,20:45,Monza,Inter,1-5
20,14-01-2024,12:30,Lazio,Lecce,1-0
20,14-01-2024,15:00,Cagliari,Bologna,2-1
20,14-01-2024,18:00,Fiorentina,Udinese,2-2
20,14-01-2024,20:45,Milan,Roma,3-1
20,15-01-2024,20:45,Atalanta,Frosinone,5-0
20,16-01-2024,20:45,Juventus,Sassuolo,3-0
21,20-01-2024,18:00,Roma,Verona,2-1
21,20-01-2024,20:45,Udinese,Milan,2-3
21,21-01-2024,12:30,Frosinone,Cagliari,3-1
21,21-01-2024,15:00,Empoli,Monza,3-0
21,21-01-2024,18:00,Salernitana,Genoa,1-2
21,21-01-2024,20:45,Lecce,Juventus,0-3
21,14-02-2024,19:00,Bologna,Fiorentina,2-0
21,22-02-2024,20:45,Torino,Lazio,0-2
21,28-02-2024,18:00,Sassuolo,Napoli,1-6
21,28-02-2024,20:45,Inter,Atalanta,4-0
22,26-01-2024,20:45,Cagliari,Torino,1-2
22,27-01-2024,15:00,Atalanta,Udinese,2-0
22,27-01-2024,18:00,Juventus,Empoli,1-1
22,27-01-2024,20:45,Milan,Bologna,2-2
22,28-01-2024,12:30,Genoa,Lecce,2-1
22,28-01-2024,15:00,Verona,Frosinone,1-1
22,28-01-2024,15:00,Monza,Sassuolo,1-0
22,28-01-2024,18:00,Lazio,Napoli,0-0
22,28-01-2024,20:45,Fiorentina,Inter,0-1
22,29-01-2024,20:45,Salernitana,Roma,1-2
23,02-02-2024,20:45,Lecce,Fiorentina,3-2
23,03-02-2024,15:00,Empoli,Genoa,0-0
23,03-02-2024,15:00,Udinese,Monza,0-0
23,03-02-2024,18:00,Frosinone,Milan,2-3
23,03-02-2024,20:45,Bologna,Sassuolo,4-2
23,04-02-2024,12:30,Torino,Salernitana,0-0
23,04-02-2024,15:00,Napoli,Verona,2-1
23,04-02-2024,18:00,Atalanta,Lazio,3-1
23,04-02-2024,20:45,Inter,Juventus,1-0
23,05-02-2024,20:45,Roma,Cagliari,4-0
24,09-02-2024,20:45,Salernitana,Empoli,1-3
24,10-02-2024,15:00,Cagliari,Lazio,1-3
24,10-02-2024,18:00,Roma,Inter,2-4
24,10-02-2024,20:45,Sassuolo,Torino,1-1
24,11-02-2024,12:30,Fiorentina,Frosinone,5-1
24,11-02-2024,15:00,Bologna,Lecce,4-0
24,11-02-2024,15:00,Monza,Verona,0-0
24,11-02-2024,18:00,Genoa,Atalanta,1-4
24,11-02-2024,20:45,Milan,Napoli,1-0
24,12-02-2024,20:45,Juventus,Udinese,0-1
25,16-02-2024,19:00,Torino,Lecce,2-0
25,16-02-2024,21:00,Inter,Salernitana,4-0
25,17-02-2024,15:00,Napoli,Genoa,1-1
25,17-02-2024,18:00,Verona,Juventus,2-2
25,17-02-2024,20:45,Atalanta,Sassuolo,3-0
25,18-02-2024,12:30,Lazio,Bologna,1-2
25,18-02-2024,15:00,Empoli,Fiorentina,1-1
25,18-02-2024,15:00,Udinese,Cagliari,1-1
25,18-02-2024,18:00,Frosinone,Roma,0-3
25,18-02-2024,20:45,Monza,Milan,4-2
26,23-02-2024,20:45,Bologna,Verona,2-0
26,24-02-2024,15:00,Sassuolo,Empoli,2-3
26,24-02-2024,18:00,Salernitana,Monza,0-2
26,24-02-2024,20:45,Genoa,Udinese,2-0
26,25-02-2024,12:30,Juventus,Frosinone,3-2
26,25-02-2024,15:00,Cagliari,Napoli,1-1
26,25-02-2024,18:00,Lecce,Inter,0-4
26,25-02-2024,20:45,Milan,Atalanta,1-1
26,26-02-2024,18:30,Roma,Torino,3-2
26,26-02-2024,20:45,Fiorentina,Lazio,2-1
27,01-03-2024,20:45,Lazio,Milan,0-1
27,02-03-2024,15:00,Udinese,Salernitana,1-1
27,02-03-2024,18:00,Monza,Roma,1-4
27,02-03-2024,20:45,Torino,Fiorentina,0-0
27,03-03-2024,12:30,Verona,Sassuolo,1-0
27,03-03-2024,15:00,Empoli,Cagliari,0-1
27,03-03-2024,15:00,Frosinone,Lecce,1-1
27,03-03-2024,18:00,Atalanta,Bologna,1-2
27,03-03-2024,20:45,Napoli,Juventus,2-1
27,04-03-2024,20:45,Inter,Genoa,2-1
28,08-03-2024,20:45,Napoli,Torino,1-1
28,09-03-2024,15:00,Cagliari,Salernitana,4-2
28,09-03-2024,15:00,Sassuolo,Frosinone,1-0
28,09-03-2024,18:00,Bologna,Inter,0-1
28,09-03-2024,20:45,Genoa,Monza,2-3
28,10-03-2024,12:30,Lecce,Verona,0-1
28,10-03-2024,15:00,Milan,Empoli,1-0
28,10-03-2024,18:00,Juventus,Atalanta,2-2
28,10-03-2024,20:45,Fiorentina,Roma,2-2
28,11-03-2024,20:45,Lazio,Udinese,1-2
29,15-03-2024,20:45,Empoli,Bologna,0-1
29,16-03-2024,15:00,Monza,Cagliari,1-0
29,16-03-2024,15:00,Udinese,Torino,0-2
29,16-03-2024,18:00,Salernitana,Lecce,0-1
29,16-03-2024,20:45,Frosinone,Lazio,2-3
29,17-03-2024,12:30,Juventus,Genoa,0-0
29,17-03-2024,15:00,Verona,Milan,1-3
29,17-03-2024,18:00,Roma,Sassuolo,1-0
29,17-03-2024,20:45,Inter,Napoli,1-1
29,02-06-2024,18:00,Atalanta,Fiorentina,2-3
30,30-03-2024,12:30,Napoli,Atalanta,0-3
30,30-03-2024,15:00,Genoa,Frosinone,1-1
30,30-03-2024,15:00,Torino,Monza,1-0
30,30-03-2024,18:00,Lazio,Juventus,1-0
30,30-03-2024,20:45,Fiorentina,Milan,1-2
30,01-04-2024,12:30,Bologna,Salernitana,3-0
30,01-04-2024,15:00,Cagliari,Verona,1-1
30,01-04-2024,15:00,Sassuolo,Udinese,1-1
30,01-04-2024,18:00,Lecce,Roma,0-0
30,01-04-2024,20:45,Inter,Empoli,2-0
31,05-04-2024,20:45,Salernitana,Sassuolo,2-2
31,06-04-2024,15:00,Milan,Lecce,3-0
31,06-04-2024,18:00,Roma,Lazio,1-0
31,06-04-2024,20:45,Empoli,Torino,3-2
31,07-04-2024,12:30,Frosinone,Bologna,0-0
31,07-04-2024,15:00,Monza,Napoli,2-4
31,07-04-2024,18:00,Cagliari,Atalanta,2-1
31,07-04-2024,18:00,Verona,Genoa,1-2
31,07-04-2024,20:45,Juventus,Fiorentina,1-0
31,08-04-2024,20:45,Udinese,Inter,1-2
32,12-04-2024,20:45,Lazio,Salernitana,4-1
32,13-04-2024,15:00,Lecce,Empoli,1-0
32,13-04-2024,18:00,Torino,Juventus,0-0
32,13-04-2024,20:45,Bologna,Monza,0-0
32,14-04-2024,12:30,Napoli,Frosinone,2-2
32,14-04-2024,15:00,Sassuolo,Milan,3-3
32,14-04-2024,20:45,Inter,Cagliari,2-2
32,15-04-2024,18:30,Fiorentina,Genoa,1-1
32,15-04-2024,20:45,Atalanta,Verona,2-2
32,25-04-2024,20:00,Udinese,Roma,1-2
33,19-04-2024,18:30,Genoa,Lazio,0-1
33,19-04-2024,20:45,Cagliari,Juventus,2-2
33,20-04-2024,18:00,Empoli,Napoli,1-0
33,20-04-2024,20:45,Verona,Udinese,1-0
33,21-04-2024,12:30,Sassuolo,Lecce,0-3
33,21-04-2024,15:00,Torino,Frosinone,0-0
33,21-04-2024,18:00,Salernitana,Fiorentina,0-2
33,21-04-2024,20:45,Monza,Atalanta,1-2
33,22-04-2024,18:30,Roma,Bologna,1-3
33,22-04-2024,20:45,Milan,Inter,1-2
34,26-04-2024,20:45,Frosinone,Salernitana,3-0
34,27-04-2024,15:00,Lecce,Monza,1-1
34,27-04-2024,18:00,Juventus,Milan,0-0
34,27-04-2024,20:45,Lazio,Verona,1-0
34,28-04-2024,12:30,Inter,Torino,2-0
34,28-04-2024,15:00,Bologna,Udinese,1-1
34,28-04-2024,18:00,Atalanta,Empoli,2-0
34,28-04-2024,18:00,Napoli,Roma,2-2
34,28-04-2024,20:45,Fiorentina,Sassuolo,5-1
34,29-04-2024,20:45,Genoa,Cagliari,3-0
35,03-05-2024,20:45,Torino,Bologna,0-0
35,04-05-2024,18:00,Monza,Lazio,2-2
35,04-05-2024,20:45,Sassuolo,Inter,1-0
35,05-05-2024,12:30,Cagliari,Lecce,1-1
35,05-05-2024,15:00,Empoli,Frosinone,0-0
35,05-05-2024,15:00,Verona,Fiorentina,2-1
35,05-05-2024,18:00,Milan,Genoa,3-3
35,05-05-2024,20:45,Roma,Juventus,1-1
35,06-05-2024,18:00,Salernitana,Atalanta,1-2
35,06-05-2024,20:45,Udinese,Napoli,1-1
36,10-05-2024,20:45,Frosinone,Inter,0-5
36,11-05-2024,18:00,Napoli,Bologna,0-2
36,11-05-2024,20:45,Milan,Cagliari,5-1
36,12-05-2024,12:30,Lazio,Empoli,2-0
36,12-05-2024,15:00,Genoa,Sassuolo,2-1
36,12-05-2024,15:00,Verona,Torino,1-2
36,12-05-2024,18:00,Juventus,Salernitana,1-1
36,12-05-2024,20:45,Atalanta,Roma,2-1
36,13-05-2024,18:30,Lecce,Udinese,0-2
36,13-05-2024,20:45,Fiorentina,Monza,2-1
37,17-05-2024,20:45,Fiorentina,Napoli,2-2
37,18-05-2024,18:00,Lecce,Atalanta,0-2
37,18-05-2024,20:45,Torino,Milan,3-1
37,19-05-2024,12:30,Sassuolo,Cagliari,0-2
37,19-05-2024,15:00,Monza,Frosinone,0-1
37,19-05-2024,15:00,Udinese,Empoli,1-1
37,19-05-2024,18:00,Inter,Lazio,1-1
37,19-05-2024,20:45,Roma,Genoa,1-0
37,20-05-2024,18:30,Salernitana,Verona,1-2
37,20-05-2024,20:45,Bologna,Juventus,3-3
38,23-05-2024,20:45,Cagliari,Fiorentina,2-3
38,24-05-2024,20:45,Genoa,Bologna,2-0
38,25-05-2024,18:00,Juventus,Monza,2-0
38,25-05-2024,20:45,Milan,Salernitana,3-3
38,26-05-2024,18:00,Atalanta,Torino,3-0
38,26-05-2024,18:00,Napoli,Lecce,0-0
38,26-05-2024,20:45,Empoli,Roma,2-1
38,26-05-2024,20:45,Frosinone,Udinese,0-1
38,26-05-2024,20:45,Verona,Inter,2-2
38,26-05-2024,20:45,Lazio,Sassuolo,1-1
1,13-08-2022,18:30,Milan,Udinese,4-2
1,13-08-2022,18:30,Sampdoria,Atalanta,0-2
1,13-08-2022,20:45,Lecce,Inter,1-2
1,13-08-2022,20:45,Monza,Torino,1-2
1,14-08-2022,18:30,Fiorentina,Cremonese,3-2
1,14-08-2022,18:30,Lazio,Bologna,2-1
1,14-08-2022,20:45,Salernitana,Roma,0-1
1,14-08-2022,20:45,Spezia,Empoli,1-0
1,15-08-2022,18:30,Verona,Napoli,2-5
1,15-08-2022,20:45,Juventus,Sassuolo,3-0
2,20-08-2022,18:30,Torino,Lazio,0-0
2,20-08-2022,18:30,Udinese,Salernitana,0-0
2,20-08-2022,20:45,Inter,Spezia,3-0
2,20-08-2022,20:45,Sassuolo,Lecce,1-0
2,21-08-2022,18:30,Empoli,Fiorentina,0-0
2,21-08-2022,18:30,Napoli,Monza,4-0
2,21-08-2022,20:45,Atalanta,Milan,1-1
2,21-08-2022,20:45,Bologna,Verona,1-1
2,22-08-2022,18:30,Roma,Cremonese,1-0
2,22-08-2022,20:45,Sampdoria,Juventus,0-0
3,26-08-2022,18:30,Monza,Udinese,1-2
3,26-08-2022,20:45,Lazio,Inter,3-1
3,27-08-2022,18:30,Cremonese,Torino,1-2
3,27-08-2022,18:30,Juventus,Roma,1-1
3,27-08-2022,20:45,Milan,Bologna,2-0
3,27-08-2022,20:45,Spezia,Sassuolo,2-2
3,28-08-2022,18:30,Verona,Atalanta,0-1
3,28-08-2022,18:30,Salernitana,Sampdoria,4-0
3,28-08-2022,20:45,Fiorentina,Napoli,0-0
3,28-08-2022,20:45,Lecce,Empoli,1-1
4,30-08-2022,18:30,Sassuolo,Milan,0-0
4,30-08-2022,20:45,Inter,Cremonese,3-1
4,30-08-2022,20:45,Roma,Monza,3-0
4,31-08-2022,18:30,Empoli,Verona,1-1
4,31-08-2022,18:30,Sampdoria,Lazio,1-1
4,31-08-2022,18:30,Udinese,Fiorentina,1-0
4,31-08-2022,20:45,Juventus,Spezia,2-0
4,31-08-2022,20:45,Napoli,Lecce,1-1
4,01-09-2022,20:45,Atalanta,Torino,3-1
4,01-09-2022,20:45,Bologna,Salernitana,1-1
5,03-09-2022,15:00,Fiorentina,Juventus,1-1
5,03-09-2022,18:00,Milan,Inter,3-2
5,03-09-2022,20:45,Lazio,Napoli,1-2
5,04-09-2022,12:30,Cremonese,Sassuolo,0-0
5,04-09-2022,15:00,Spezia,Bologna,2-2
5,04-09-2022,18:00,Verona,Sampdoria,2-1
5,04-09-2022,20:45,Udinese,Roma,4-0
5,05-09-2022,18:30,Monza,Atalanta,0-2
5,05-09-2022,18:30,Salernitana,Empoli,2-2
5,05-09-2022,20:45,Torino,Lecce,1-0
6,10-09-2022,15:00,Napoli,Spezia,1-0
6,10-09-2022,18:00,Inter,Torino,1-0
6,10-09-2022,20:45,Sampdoria,Milan,1-2
6,11-09-2022,12:30,Atalanta,Cremonese,1-1
6,11-09-2022,15:00,Bologna,Fiorentina,2-1
6,11-09-2022,15:00,Lecce,Monza,1-1
6,11-09-2022,15:00,Sassuolo,Udinese,1-3
6,11-09-2022,18:00,Lazio,Verona,2-0
6,11-09-2022,20:45,Juventus,Salernitana,2-2
6,12-09-2022,20:45,Empoli,Roma,1-2
7,16-09-2022,20:45,Salernitana,Lecce,1-2
7,17-09-2022,15:00,Bologna,Empoli,0-1
7,17-09-2022,18:00,Spezia,Sampdoria,2-1
7,17-09-2022,20:45,Torino,Sassuolo,0-1
7,18-09-2022,12:30,Udinese,Inter,3-1
7,18-09-2022,15:00,Cremonese,Lazio,0-4
7,18-09-2022,15:00,Fiorentina,Verona,2-0
7,18-09-2022,15:00,Monza,Juventus,1-0
7,18-09-2022,18:00,Roma,Atalanta,0-1
7,18-09-2022,20:45,Milan,Napoli,1-2
8,01-10-2022,15:00,Napoli,Torino,3-1
8,01-10-2022,18:00,Inter,Roma,1-2
8,01-10-2022,20:45,Empoli,Milan,1-3
8,02-10-2022,12:30,Lazio,Spezia,4-0
8,02-10-2022,15:00,Lecce,Cremonese,1-1
8,02-10-2022,15:00,Sampdoria,Monza,0-3
8,02-10-2022,15:00,Sassuolo,Salernitana,5-0
8,02-10-2022,18:00,Atalanta,Fiorentina,1-0
8,02-10-2022,20:45,Juventus,Bologna,3-0
8,03-10-2022,20:45,Verona,Udinese,1-2
9,08-10-2022,15:00,Sassuolo,Inter,1-2
9,08-10-2022,18:00,Milan,Juventus,2-0
9,08-10-2022,20:45,Bologna,Sampdoria,1-1
9,09-10-2022,12:30,Torino,Empoli,1-1
9,09-10-2022,15:00,Monza,Spezia,2-0
9,09-10-2022,15:00,Salernitana,Verona,2-1
9,09-10-2022,18:00,Udinese,Atalanta,2-2
9,09-10-2022,20:45,Cremonese,Napoli,1-4
9,10-10-2022,20:45,Fiorentina,Lazio,0-4
10,15-10-2022,15:00,Empoli,Monza,1-0
10,15-10-2022,18:00,Torino,Juventus,0-1
10,15-10-2022,20:45,Atalanta,Sassuolo,2-1
10,16-10-2022,12:30,Inter,Salernitana,2-0
10,16-10-2022,15:00,Lazio,Udinese,0-0
10,16-10-2022,15:00,Spezia,Cremonese,2-2
10,16-10-2022,18:00,Napoli,Bologna,3-2
10,16-10-2022,20:45,Verona,Milan,1-2
10,17-10-2022,18:30,Sampdoria,Roma,0-1
10,17-10-2022,20:45,Lecce,Fiorentina,1-1
11,21-10-2022,20:45,Juventus,Empoli,4-0
11,22-10-2022,15:00,Salernitana,Spezia,1-0
11,22-10-2022,18:00,Milan,Monza,4-1
11,22-10-2022,20:45,Fiorentina,Inter,3-4
11,23-10-2022,12:30,Udinese,Torino,1-2
11,23-10-2022,15:00,Bologna,Lecce,2-0
11,23-10-2022,18:00,Atalanta,Lazio,0-2
11,23-10-2022,20:45,Roma,Napoli,0-1
11,24-10-2022,18:30,Cremonese,Sampdoria,0-1
11,24-10-2022,20:45,Sassuolo,Verona,2-1
12,29-10-2022,15:00,Napoli,Sassuolo,4-0
12,29-10-2022,18:00,Lecce,Juventus,0-1
12,29-10-2022,20:45,Inter,Sampdoria,3-0
12,30-10-2022,12:30,Empoli,Atalanta,0-2
12,30-10-2022,15:00,Cremonese,Udinese,0-0
12,30-10-2022,15:00,Spezia,Fiorentina,1-2
12,30-10-2022,18:00,Lazio,Salernitana,1-3
12,30-10-2022,20:45,Torino,Milan,2-1
12,31-10-2022,18:30,Verona,Roma,1-3
12,31-10-2022,20:45,Monza,Bologna,1-2
13,04-11-2022,20:45,Udinese,Lecce,1-1
13,05-11-2022,15:00,Empoli,Sassuolo,1-0
13,05-11-2022,15:00,Salernitana,Cremonese,2-2
13,05-11-2022,18:00,Atalanta,Napoli,1-2
13,05-11-2022,20:45,Milan,Spezia,2-1
13,06-11-2022,12:30,Bologna,Torino,2-1
13,06-11-2022,15:00,Monza,Verona,2-0
13,06-11-2022,15:00,Sampdoria,Fiorentina,0-2
13,06-11-2022,18:00,Roma,Lazio,0-1
13,06-11-2022,20:45,Juventus,Inter,2-0
14,08-11-2022,18:30,Napoli,Empoli,2-0
14,08-11-2022,18:30,Spezia,Udinese,1-1
14,08-11-2022,20:45,Cremonese,Milan,0-0
14,09-11-2022,18:30,Lecce,Atalanta,2-1
14,09-11-2022,18:30,Sassuolo,Roma,1-1
14,09-11-2022,20:45,Fiorentina,Salernitana,2-1
14,09-11-2022,20:45,Inter,Bologna,6-1
14,09-11-2022,20:45,Torino,Sampdoria,2-0
14,10-11-2022,18:30,Verona,Juventus,0-1
14,10-11-2022,20:45,Lazio,Monza,1-0
15,11-11-2022,20:45,Empoli,Cremonese,2-0
15,12-11-2022,15:00,Napoli,Udinese,3-2
15,12-11-2022,18:00,Sampdoria,Lecce,0-2
15,12-11-2022,20:45,Bologna,Sassuolo,3-0
15,13-11-2022,12:30,Atalanta,Inter,2-3
15,13-11-2022,15:00,Verona,Spezia,1-2
15,13-11-2022,15:00,Monza,Salernitana,3-0
15,13-11-2022,18:00,Roma,Torino,1-1
15,13-11-2022,20:45,Milan,Fiorentina,2-1
15,14-11-2022,20:45,Juventus,Lazio,3-0
16,04-01-2023,12:30,Salernitana,Milan,1-2
16,04-01-2023,12:30,Sassuolo,Sampdoria,1-2
16,04-01-2023,14:30,Spezia,Atalanta,2-2
16,04-01-2023,14:30,Torino,Verona,1-1
16,04-01-2023,16:30,Lecce,Lazio,2-1
16,04-01-2023,16:30,Roma,Bologna,1-0
16,04-01-2023,18:30,Cremonese,Juventus,0-1
16,04-01-2023,18:30,Fiorentina,Monza,1-1
16,04-01-2023,20:45,Inter,Napoli,1-0
16,04-01-2023,20:45,Udinese,Empoli,1-1
17,07-01-2023,15:00,Fiorentina,Sassuolo,2-1
17,07-01-2023,18:00,Juventus,Udinese,1-0
17,07-01-2023,20:45,Monza,Inter,2-2
17,08-01-2023,12:30,Salernitana,Torino,1-1
17,08-01-2023,15:00,Lazio,Empoli,2-2
17,08-01-2023,15:00,Spezia,Lecce,0-0
17,08-01-2023,18:00,Sampdoria,Napoli,0-2
17,08-01-2023,20:45,Milan,Roma,2-2
17,09-01-2023,18:30,Verona,Cremonese,2-0
17,09-01-2023,20:45,Bologna,Atalanta,1-2
18,13-01-2023,20:45,Napoli,Juventus,5-1
18,14-01-2023,15:00,Cremonese,Monza,2-3
18,14-01-2023,18:00,Lecce,Milan,2-2
18,14-01-2023,20:45,Inter,Verona,1-0
18,15-01-2023,12:30,Sassuolo,Lazio,0-2
18,15-01-2023,15:00,Torino,Spezia,0-1
18,15-01-2023,18:00,Udinese,Bologna,1-2
18,15-01-2023,20:45,Atalanta,Salernitana,8-2
18,16-01-2023,20:45,Empoli,Sampdoria,1-0
19,21-01-2023,15:00,Verona,Lecce,2-0
19,21-01-2023,18:00,Salernitana,Napoli,0-2
19,21-01-2023,20:45,Fiorentina,Torino,0-1
19,22-01-2023,12:30,Sampdoria,Udinese,0-1
19,22-01-2023,15:00,Monza,Sassuolo,1-1
19,22-01-2023,18:00,Spezia,Roma,0-2
19,22-01-2023,20:45,Juventus,Atalanta,3-3
19,23-01-2023,18:30,Bologna,Cremonese,1-1
19,23-01-2023,20:45,Inter,Empoli,0-1
19,24-01-2023,20:45,Lazio,Milan,4-0
20,27-01-2023,18:30,Bologna,Spezia,2-0
20,27-01-2023,20:45,Lecce,Salernitana,1-2
20,28-01-2023,15:00,Empoli,Torino,2-2
20,28-01-2023,18:00,Cremonese,Inter,1-2
20,28-01-2023,20:45,Atalanta,Sampdoria,2-0
20,29-01-2023,12:30,Milan,Sassuolo,2-5
20,29-01-2023,15:00,Juventus,Monza,0-2
20,29-01-2023,18:00,Lazio,Fiorentina,1-1
20,29-01-2023,20:45,Napoli,Roma,2-1
20,30-01-2023,20:45,Udinese,Verona,1-1
21,04-02-2023,15:00,Cremonese,Lecce,0-2
21,04-02-2023,18:00,Roma,Empoli,2-0
21,04-02-2023,20:45,Sassuolo,Atalanta,1-0
21,05-02-2023,12:30,Spezia,Napoli,0-3
21,05-02-2023,15:00,Torino,Udinese,1-0
21,05-02-2023,18:00,Fiorentina,Bologna,1-2
21,05-02-2023,20:45,Inter,Milan,1-0
21,06-02-2023,18:30,Verona,Lazio,1-1
21,06-02-2023,20:45,Monza,Sampdoria,2-2
21,07-02-2023,20:45,Salernitana,Juventus,0-3
22,10-02-2023,20:45,Milan,Torino,1-0
22,11-02-2023,15:00,Empoli,Spezia,2-2
22,11-02-2023,18:00,Lecce,Roma,1-1
22,11-02-2023,20:45,Lazio,Atalanta,0-2
22,12-02-2023,12:30,Udinese,Sassuolo,2-2
22,12-02-2023,15:00,Bologna,Monza,0-1
22,12-02-2023,18:00,Juventus,Fiorentina,1-0
22,12-02-2023,20:45,Napoli,Cremonese,3-0
22,13-02-2023,18:30,Verona,Salernitana,1-0
22,13-02-2023,20:45,Sampdoria,Inter,0-0
23,17-02-2023,20:45,Sassuolo,Napoli,0-2
23,18-02-2023,15:00,Sampdoria,Bologna,1-2
23,18-02-2023,18:00,Monza,Milan,0-1
23,18-02-2023,20:45,Inter,Udinese,3-1
23,19-02-2023,12:30,Atalanta,Lecce,1-2
23,19-02-2023,15:00,Fiorentina,Empoli,1-1
23,19-02-2023,18:00,Salernitana,Lazio,0-2
23,19-02-2023,20:45,Spezia,Juventus,0-2
23,20-02-2023,20:45,Torino,Cremonese,2-2
24,25-02-2023,18:00,Empoli,Napoli,0-2
24,25-02-2023,20:45,Lecce,Sassuolo,0-1
24,26-02-2023,12:30,Bologna,Inter,1-0
24,26-02-2023,15:00,Salernitana,Monza,3-0
24,26-02-2023,18:00,Udinese,Spezia,2-2
24,26-02-2023,20:45,Milan,Atalanta,2-0
24,27-02-2023,18:30,Verona,Fiorentina,0-3
24,27-02-2023,20:45,Lazio,Sampdoria,1-0
24,28-02-2023,18:30,Cremonese,Roma,2-1
24,28-02-2023,20:45,Juventus,Torino,4-2
25,03-03-2023,20:45,Napoli,Lazio,0-1
25,04-03-2023,15:00,Monza,Empoli,2-1
25,04-03-2023,18:00,Atalanta,Udinese,0-0
25,04-03-2023,20:45,Fiorentina,Milan,2-1
25,05-03-2023,12:30,Spezia,Verona,0-0
25,05-03-2023,15:00,Sampdoria,Salernitana,0-0
25,05-03-2023,18:00,Inter,Lecce,2-0
25,05-03-2023,20:45,Roma,Juventus,1-0
25,06-03-2023,18:30,Sassuolo,Cremonese,3-2
25,06-03-2023,20:45,Torino,Bologna,1-0
26,10-03-2023,20:45,Spezia,Inter,2-1
26,11-03-2023,15:00,Empoli,Udinese,0-1
26,11-03-2023,18:00,Napoli,Atalanta,2-0
26,11-03-2023,20:45,Bologna,Lazio,0-0
26,12-03-2023,12:30,Lecce,Torino,0-2
26,12-03-2023,15:00,Cremonese,Fiorentina,0-2
26,12-03-2023,18:00,Verona,Monza,1-1
26,12-03-2023,20:45,Roma,Sassuolo,3-4
26,13-03-2023,20:45,Milan,Salernitana,1-1
27,17-03-2023,18:30,Sassuolo,Spezia,1-0
27,17-03-2023,20:45,Atalanta,Empoli,2-1
27,18-03-2023,15:00,Monza,Cremonese,1-1
27,18-03-2023,18:00,Salernitana,Bologna,2-2
27,18-03-2023,20:45,Udinese,Milan,3-1
27,19-03-2023,12:30,Sampdoria,Verona,3-1
27,19-03-2023,15:00,Fiorentina,Lecce,1-0
27,19-03-2023,18:00,Torino,Napoli,0-4
27,19-03-2023,20:45,Lazio,Roma,1-0
27,20-03-2023,20:45,Inter,Juventus,0-1
28,01-04-2023,15:00,Cremonese,Atalanta,1-3
28,01-04-2023,18:00,Inter,Fiorentina,0-1
28,01-04-2023,20:45,Juventus,Verona,1-0
28,02-04-2023,12:30,Bologna,Udinese,3-0
28,02-04-2023,15:00,Monza,Lazio,0-2
28,02-04-2023,15:00,Spezia,Salernitana,1-1
28,02-04-2023,18:00,Roma,Sampdoria,3-0
28,02-04-2023,20:45,Napoli,Milan,0-4
28,03-04-2023,18:30,Empoli,Lecce,1-0
28,03-04-2023,20:45,Sassuolo,Torino,1-1
29,07-04-2023,17:00,Salernitana,Inter,1-1
29,07-04-2023,19:00,Lecce,Napoli,1-2
29,07-04-2023,21:00,Milan,Empoli,0-0
29,08-04-2023,12:30,Udinese,Monza,2-2
29,08-04-2023,14:30,Fiorentina,Spezia,1-1
29,08-04-2023,16:30,Atalanta,Bologna,0-2
29,08-04-2023,18:30,Verona,Sassuolo,2-1
29,08-04-2023,18:30,Sampdoria,Cremonese,2-3
29,08-04-2023,20:45,Torino,Roma,0-1
29,08-04-2023,20:45,Lazio,Juventus,2-1
30,14-04-2023,18:30,Cremonese,Empoli,1-0
30,14-04-2023,20:45,Spezia,Lazio,0-3
30,15-04-2023,15:00,Bologna,Milan,1-1
30,15-04-2023,18:00,Napoli,Verona,0-0
30,15-04-2023,20:45,Inter,Monza,0-1
30,16-04-2023,12:30,Lecce,Sampdoria,1-1
30,16-04-2023,15:00,Torino,Salernitana,1-1
30,16-04-2023,18:00,Sassuolo,Juventus,1-0
30,16-04-2023,20:45,Roma,Udinese,3-0
30,17-04-2023,20:45,Fiorentina,Atalanta,1-1
31,21-04-2023,20:45,Verona,Bologna,2-1
31,22-04-2023,15:00,Salernitana,Sassuolo,3-0
31,22-04-2023,18:00,Lazio,Torino,0-1
31,22-04-2023,20:45,Sampdoria,Spezia,1-1
31,23-04-2023,12:30,Empoli,Inter,0-3
31,23-04-2023,15:00,Monza,Fiorentina,3-2
31,23-04-2023,18:00,Udinese,Cremonese,3-0
31,23-04-2023,20:45,Milan,Lecce,2-0
31,24-04-2023,20:45,Atalanta,Roma,3-1
32,28-04-2023,18:30,Lecce,Udinese,1-0
32,28-04-2023,20:45,Spezia,Monza,0-2
32,29-04-2023,18:00,Roma,Milan,1-1
32,29-04-2023,20:45,Torino,Atalanta,1-2
32,30-04-2023,12:30,Inter,Lazio,3-1
32,30-04-2023,15:00,Cremonese,Verona,1-1
32,30-04-2023,15:00,Napoli,Salernitana,1-1
32,30-04-2023,15:00,Sassuolo,Empoli,2-1
32,30-04-2023,18:00,Fiorentina,Sampdoria,5-0
32,30-04-2023,20:45,Bologna,Juventus,1-1
33,03-05-2023,18:00,Atalanta,Spezia,3-2
33,03-05-2023,18:00,Juventus,Lecce,2-1
33,03-05-2023,18:00,Salernitana,Fiorentina,3-3
33,03-05-2023,18:00,Sampdoria,Torino,0-2
33,03-05-2023,21:00,Verona,Inter,0-6
33,03-05-2023,21:00,Lazio,Sassuolo,2-0
33,03-05-2023,21:00,Milan,Cremonese,1-1
33,03-05-2023,21:00,Monza,Roma,1-1
33,04-05-2023,20:45,Empoli,Bologna,3-1
